"","text"
"138","modi govt must learn use power might next uselection"
"139","rt hiddentruth trump won care lies told wake look around still trump country usa tru…"
"140"," really important spell check today great example noticed increasing errors media articl… httpstcohqeinxtx"
"141"," hilarious tell guy got votes ever million joke uff uselection… httpstcoqfuacymc"
"142","rt saulosantana latest work design oval office setdesign broadcasting tv onair design newsdesign uselection bild …"
"143","rt jurisdictio joe biden greatest presidential speech uselection httpstcokghflru"
"144","yeah wasn’t great see footage uselection campaign oh wait uf httpstconsnafzpjv"
"145","elizabeth richter named interim head cms biden transitions new era uselection kamalaharris… httpstcoptgxmuxia"
"146","micky tripathi named biden administration lead onc uselection kamalaharris joebiden uspresident… httpstcozsjzryjvyz"
"147"," uselection dust settled think ’s worth pointing trump didn’t question joebiden … httpstcoqywoistfk"
"148","rt rorybremner trump latest rant full usaelections uselection httpstcowifjwjculh"
"149","rt peterwmurphy q joe biden steal election convinced million americans vote uselection uspoli…"
"150","rt richardcalderv uselection can see observable truth politics today trump lost like jeremycorbyn lost uk…"
"151","q joe biden steal election convinced million americans vote uselection uspolitics"
"152","telegraph thechrisprice th amendment can used remove trump check … httpstcoagwnutks"
"153","rt theresaafallon german der spiegel’s take outcome uselection right trump cover httpstcoqtkcxvxck"
"154"," lovely cwbookshop will cohosting livestream event jonsopel pm thursday th jan tickets … httpstcoveukmie"
"155","rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos"
"156"," hire seniors uf berniesanders sensanders berniesanders berniesandersmittens uselection usa httpstcoqnupemtx"
"157"," hire seniors uf berniesanders sensanders berniesanders berniesandersmittens uselection httpstcocyicehk"
"158","rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos"
"159","rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos"
"160","rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos"
"161","rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos"
"162","rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos"
"163","rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos"
"164","rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos"
"165","rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos"
"166","rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos"
"167","rt presidentlebon realobonjo profmalhotra joebiden french mr president potus leaderofthefreeworld care…"
"168","rt richardcalderv uselection can see observable truth politics today trump lost like jeremycorbyn lost uk…"
"169"," uselection can see observable truth politics today trump lost like jeremycorbyn lost th… httpstcolhiizkuyg"
"170"," may first woman office won’t last kamala harris history made today t… httpstcopuekqxkdpm"
"171","rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos"
"172","hey nigelfarage ’s old mate don heard days worried ’s okay donaldtrump uselection"
"173"," excellent performance trend amp event driven selections greennewdeal medtech g covid… httpstcoqhtgnowte"
"174","rt neuroticslacker bro wth leader isn’t elections electionday uselection uselection electionmemes httpst…"
"175","rt gsgaurav joy us media bidens victory us elections resembles india modi kno…"
"176","rt presstv us deep crisis dancohen part uselection dancohen httpstcosldoajy"
"177","rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos"
"178","rt presstv us deep crisis dancohen part uselection dancohen httpstcosldoajy"
"179"," past four yrs arrays unexpected decisions made states tackle various storms indeed biden… httpstcogwhfmmvq"
"180","paulmasonnews pirouetting spectacular fashion tantalisingly close accepting class dynamic lordashcroft… httpstcothopnhsetm"
