"","text"
"347","lady gaga sings national anthem joe biden president inauguration uselection ladygaga httpstcoxekpblmygx"
"348"," earth lady gaga wearing ufuf bidenharrisinauguration uselection bidenharris"
"349","rt arctikasylum joebiden realdonaldtrump congratulations goodbye cheeto man let door hit way joebiden u…"
"350","lady gaga fairly blasted ’m now tears uselection"
"351","joebiden inaugurated today th us president potus congs ufaa uselection httpstcotzlarzxgr"
"352","see ya donald definitely won’t missed donaldjtrump uselection"
"353","rt phntombrin exciting day usa joebiden kamalaharris new age will hopefully begin much love usa fr…"
"354","exciting day usa joebiden kamalaharris new age will hopefully begin much love … httpstcoaxbhtojs"
"355","presidentelectbiden massive job ahead inaugurated today us polarised moment… httpstcoxzlygvegvt"
"356","day made data model us election data powerbi daysofdata datascience mspowerbi uselection"
"357","taxi trump new president getting sworn previous one waiting taxi… httpstcothahyspib"
"358","follow live coverage transition power united states donald trump joe biden uselection… httpstcowhnsylfat"
"359","rt carlowcollege listen back great piece kclrfm ericderr talking suenunnradio joebiden reaching …"
"360","rt carlowcollege listen back great piece kclrfm ericderr talking suenunnradio joebiden reaching …"
"361","rt ronbrown way top year usa best seats house nickbryantny legendary bbc cameraman ron skean…"
"362","rt duasahildua reuters th amendment can used remove trump check interesting blog https…"
"363","well done skynews leaving mics find presenters really think uselection… httpstcordzvhxldw"
"364","rt geetamohan drsjaishankar uselection trump won us audience analyse change came indian …"
"365","reuters th amendment can used remove trump check interesting blog… httpstcocgafjdhqt"
"366","garybarlow happy birthday grandpa feel milestone birthday falling historic inau… httpstconcgqoqjqms"
"367","rt startimesghana us presidential inauguration watch inauguration joe biden th president united states america…"
"368","rt economictimes us election results crowd gathers iconic times square new york celebrate joe bidens win live updates http…"
"369","nightmareisover mock nytimes frontpage widely circulated mid uselection crea… httpstcotombaslyam"
"370","rt sanasyr today first thing comes mind maybe now mother sisters will able see live famil…"
"371","rt sanasyr today first thing comes mind maybe now mother sisters will able see live famil…"
"372"," way top year usa best seats house nickbryantny legendary bbc cameraman r… httpstcowvnfevaxi"
"373"," will newsreaders itvnews bbcnews channelnews amp skynews stop repeating amount votes loser… httpstcocubtqhokqj"
"374","rt sanasyr today first thing comes mind maybe now mother sisters will able see live famil…"
"375","rt theresaafallon german der spiegel’s take outcome uselection right trump cover httpstcoqtkcxvxck"
"376","inauguration potus follows tradition leaves note joebiden kamalaharris uselection httpstcobxbgkfz"
"377"," seems innocent proven guilty applies uselection authorities really investigate check ballots"
"378","rt sanasyr today first thing comes mind maybe now mother sisters will able see live famil…"
"379","joebiden congrats america corrupted system new wrap america democracy uselection"
"380","rt sanasyr today first thing comes mind maybe now mother sisters will able see live famil…"
"381","rt sanasyr today first thing comes mind maybe now mother sisters will able see live famil…"
"382","today first thing comes mind maybe now mother sisters will able see live … httpstcosoziphwq"
"383"," evidence voter fraud beg differ uselection httpstcoonopuisero"
"384","rt subdudelondon thought done realdonaldtrump pieces still looks close call world desperately awai…"
